Job reference,Job title,Date de publication,Company,Location,Contract type,URL,Salary,Experience,Education level,Skills,Description
166CJPM,Data Architect / Data Engineer / Data Scientist - Avignon (H/F),Publié il y a plus de 30 jours,ELIPCE INFORMATIQUE ,84,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/166CJPM,"Salaire brut : Annuel de 35000,00 Euros à 45000,00 Euros sur 12 mois",3 ans,N/A,"['Adapter les outils de traitement statistique de données', 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une veille documentaire', 'Réaliser une étude', ""Rédiger l'information produite""]","PRESENTATION D'ELIPCE :
Expert(e) en développement logiciel & data et interprétation métier, Elipce se positionne sur 3 axes : efficacité opérationnelle, business intelligence et centre de services logiciels.
Pour accompagner nos clients, nous créons des solutions digitales adaptées, qui correspondent à leur fonctionnement et à la réalité de leur entreprise. 
Nous proposons également des solutions d'externalisation permettant d'assurer la maintenance, l'évolution ou le développement d'applications logicielles pour le compte de nos clients, via la mise à disposition de pool de compétences au sein des équipes client et sur nos plateaux techniques.
Nous nous engageons à fournir des solutions de qualité, à promouvoir l'innovation et à cultiver une véritable cohésion au sein de notre équipe.
DESCRIPTION DU POSTE : 
Au sein d'une équipe, vous assurez le cycle de vie des applications développées avec de grands challenges techniques et organisationnels pour accompagner nos clients dans la transformation de leurs SI.
MISSIONS PRINCIPALES : 
Modéliser, traiter et transformer des données complexes
Concevoir une solution de stockage de données (modèle en étoile)
Développer des connecteurs ou passerelles de données à l'aide des outils ETL (Talend)
Lire, comprendre et rédiger des documents techniques en lien avec le poste de Data Architect / Data Engineer : dictionnaire de données, modélisation Merise, UML, matrice de bus
Rester à jour et en veille sur les différentes technologies et méthodes liées au poste de Data Architect / Data Engineer par le biais de l'auto formation ou la formation professionnelle
Des compétences en machine learning / IA au sens large sont appréciées
PROFIL RECHERCHÉ : 
Vous êtes Data Architect et / ou Data Engineer et / ou Data Scientist confirmé ou aguerri . Vous souhaitez intégrer une équipe jdynamique et relever de nouveaux challenges. Vous avez besoin de transversalité, d'autonomie et ne pas être cantonné à une seule tâche; Vous êtes curieux et souhaitez explorer des données en provenance de différents secteurs (industrie, finance, transport, service).
Vous êtes ou avez été analyste programmeur ? Vous êtes curieux de savoir la différence entre une base de données et un entrepôt de données ? Vous avez envie d'aller plus loin que le simple stockage et vous souhaitez apprendre à valoriser les données ? Ce poste vous permettra de vous épanouir par la formation aux technologies et techniques en business intelligence. N'hésitez pas à postuler !
Qualités requises :
Couteau Suisse
Organisé, réactif et rigoureux
Etre créatif, avoir le sens de l'innovation
Avoir un état d'esprit analytique et de synthèse
Force de proposition

BONUS :

Mutuelle prise en charge à 100 %
Accord d'intéressement
Vélo électrique de fonction (à la demande)
Séance de sport en entreprise"
166CJLC,Data Architect / Data Engineer / Data Scientist - Valence (H/F),Publié il y a plus de 30 jours,ELIPCE INFORMATIQUE ,26,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/166CJLC,"Salaire brut : Annuel de 35000,00 Euros à 45000,00 Euros sur 12 mois",3 ans,N/A,"['Adapter les outils de traitement statistique de données', 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une veille documentaire', 'Réaliser une étude', ""Rédiger l'information produite""]","DESCRIPTION DU POSTE : 

Au sein d'une équipe, vous assurez le cycle de vie des applications développées avec de grands challenges techniques et organisationnels pour accompagner nos clients dans la transformation de leurs SI.

MISSIONS PRINCIPALES : 

Modéliser, traiter et transformer des données complexes
Concevoir une solution de stockage de données (modèle en étoile)
Développer des connecteurs ou passerelles de données à l'aide des outils ETL (Talend)
Lire, comprendre et rédiger des documents techniques en lien avec le poste de Data Architect / Data Engineer : 
dictionnaire de données, modélisation Merise, UML, matrice de bus
Rester à jour et en veille sur les différentes technologies et méthodes liées au poste de Data Architect / Data Engineer par le biais de l'auto formation ou la formation professionnelle
Des compétences en machine learning / IA au sens large sont appréciées

PROFIL RECHERCHÉ : 

Vous êtes Data Architect et / ou Data Engineer et / ou Data Scientist confirmé ou aguerri ? Vous souhaitez intégrer une équipe jeune, dynamique et relever de nouveaux challenges ? Vous avez besoin de transversalité, d'autonomie et ne pas être cantonné à une seule tâche .Vous êtes curieux et souhaitez explorer des données en provenance de différents secteurs (industrie, finance, transport, service  ) 

Vous êtes ou avez été analyste programmeur. Vous êtes curieux de savoir la différence entre une base de données et un entrepôt de données ? Vous avez envie d'aller plus loin que le simple stockage et vous souhaitez apprendre à valoriser les données ?
Ce poste vous permettra de vous épanouir par la formation aux technologies et techniques en business intelligence. 
N'hésitez pas à postuler !

QUALITÉS REQUISES : 
Organisé, réactif et rigoureux. Goût du travail en équipe
Etre créatif, avoir le sens de l'innovation. Avoir un état d'esprit analytique et de synthèse
Force de proposition

BONUS :

Mutuelle prise en charge à 100 %. Accord d'intéressement
Vélo électrique de fonction (à la demande). Séance de sport en entreprise"
166BQWP,Data Engineer Spark/Scala (H/F),Publié il y a plus de 30 jours,SOORS ,33,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/166BQWP,"Salaire brut : Annuel de 45000,00 Euros sur 12 mois",7 ans,N/A,"['Adapter les outils de traitement statistique de données', 'Analyser, exploiter, structurer des données', ""Assister une structure dans l'interprétation et l'analyse d'une étude"", 'Présenter et diffuser les résultats des études réalisées', 'Réaliser des études spécifiques', 'Réaliser une veille documentaire', 'Réaliser une étude', ""Rédiger l'information produite""]","Nous recherchons un Data Engineer Spark/Scala expérimenté pour rejoindre notre équipe Data Science. Vous serez responsable de la conception, du développement et de l'exploitation d'un datalake pour un client bancaire.

Responsabilités:
Concevoir et mettre en œuvre l'architecture du datalake, en tenant compte des différents types de données (structurées, non structurées, etc.) et des différentes sources de données (bases de données, applications, IoT, etc.)
Développer et maintenir les pipelines de données, en utilisant les frameworks Apache Hadoop, Apache Hive, Apache Pig et Apache Storm
Assurer la qualité des données et la sécurité du datalake, en utilisant les outils et techniques appropriés
Collaborer avec les équipes de développement et d'analyse, pour les aider à accéder aux données et à les utiliser pour leurs analyses. 

Compétences attendues:
Profil expert en développement d'applications Spark/Scala avec au moins 7 ans d'expérience
Connaissances des frameworks Apache Hadoop, Apache Hive, Apache Pig et Apache Storm
Connaissances des langages de programmation Scala, Python ou Java
Connaissances des principes de la gestion de données, notamment du stockage, du traitement, de l'analyse et de la visualisation des données
Aptitude à travailler en équipe et à communiquer efficacement. 

Compétences techniques supplémentaires:
Kafka, Kafka-Stream
Scala/Java
Hadoop
Devops (Jenkins, Kubernetes, Docker, Ansible)

Profil recherché:
Diplômé d'une école d'ingénieur ou d'un Master en Informatique
Passionné par le Big Data et l'analyse
Apte à apprendre rapidement et à s'adapter à de nouveaux environnements

Rémunération:
Salaire fixe selon profil
Primes
Avantages sociaux

Lieu de travail:
Bordeaux, France"
162LZNK,Data Engineer Java / Scala (H/F),"Publié il y a plus de 30 jours
Soyez parmi les 1ers à postuler",GLANUM ,84,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/162LZNK,Salaire brut : Pc portable,2 ans,Bac+5 et plus ou équivalents informatique et systèmes d'information - - Big Data,"['Application web', 'Concevoir une application web', 'Développer une application en lien avec une base de données', 'Environnement Kafka Spark', 'Langage informatique Java', 'Langage informatique Scala', 'Méthode agile', 'Méthodologie Scrum', 'Spring / Springboot / Spring Batch']","Pour accompagner l'un de nos clients, nous recherchons un Data Engineer Scala / Java, ayant une bonne formation ou autodidacte confirmé, et qui rejoindra notre agence au sein du pôle Artificial Intelligence & Data Science . Nous te proposons de participer au développement de sa plateforme de service. Une première expérience professionnelle est requise (avec référence si possible) et des déplacements sont à prévoir (Avignon, Paris).

Dans une agence de 100 personnes, au sein d'une équipe de 17 personnes, et sous la responsabilité de notre CTO et du responsable de pôle, tu auras pour mission de :

- Intervenir sur les plateformes de données
- Développer de nouveaux pipelines de données (ingestion, traitement, exposition)
- Concevoir, développer, tester en mode agile sur une « architecture réactive »
- Analyser et résoudre les incidents de production en lien avec les solutions construites
- Participer à la veille technologique et à la réalisation de POC


Ton profil :

Exigence

Tu as des compétences techniques poussées car tu as de l'appétit ! Faire les choses, ça veut dire bien les faire, ou rien. Et par ailleurs, on trouve en toi une rigueur dans le contrôle de ton travail, dans les tests que tu effectues systématiquement avant d'annoncer une livraison. Ca te motive de savoir que tout le monde excelle autour de toi.

Passion

Geek est un compliment, tu as du plaisir à voir sortir de la machine des applications. En tant qu'utilisateur, tu as une véritable intuition quant à l'ergonomie des sites et applications que tu utilises et tu en mesures toute l'importance. A l'intérieur de l'application, le code a une logique, une architecture, c'est un écosystème intelligent et tu souhaites contribuer à le rendre encore plus beau.

Ouverture

Comme nous, tu regardes le monde entier avec intérêt : tu aimes rencontrer des gens d'origines diverses, tu parles ou apprends plusieurs langues, les autres cultures sont des sources d'inspiration, tu peux ou souhaiterais voyager  Tu es ouvert aux richesses de l'autre.

#Avignon #AgenceWeb #Digital #Fenum"
48233,Consultant(e) data confirmé(e) - DATA Engineer (H/F),Publié hier,N/A,MAINE ET LOIRE 49,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/0048233,N/A,Expérience exigée,N/A,[],"EFFIDIC, ESN experte en Data, accompagne les entreprises dans leur transformation numérique pour faire de leurs données un levier de croissance et les faire entrer dans l'ère de l'entreprise « Data-Driven ».
 Nous recherchons un(e) Consultant(e) Data confirmé(e) - Data Engineer pour renforcer notre équipe, accompagner le développement de notre activité et répondre aux sollicitations de nos clients, dans un secteur d'activité en pleine croissance (déploiement de plateformes de données, datavisualisation, etc.).
 Vos missions Sous la responsabilité du Directeur Technique, vous gérez de bout en bout les projets gérés pour nos clients :
 * Recueillir les besoins en clientèle
 * Concevoir et implémenter des entrepôts de données (Data Warehouse)
 * Mettre en place des tableaux de bord via un outil de dataviz
 * Gérer la relation avec le client
 Compétences recherchées :
 Technologies maîtrisées
 * Maîtrise du SQL et d'au moins un SGBD (Snowflake, BigQuery, PostgreSQL, etc.)
 * Connaissance d'au moins un outil de data engineering (DBT, Python, Talend, Fivetran, etc.)
 * Connaissance d'au moins un outil de datavisualisation (PowerBI, Qlik, Looker Studio, Tableau, etc.)
 * La connaissance des plateformes DevOps/DataOps est un plus (Azure DevOps, Google Cloud Build, etc.)
 Savoir-être
 * Autonome, rigoureux(se), organisé(e)
 * Sens de la communication
 * Curieux(se), dynamique, entreprenant(e)
 Profil du candidatConfirmé(e) : 2 à 5 ans d'expérience dans le domaine de la data.
 Les + EFFIDIC
 * Un environnement stimulant
 * Des locaux situés à Trélazé (Angers)
 * Une société en pleine croissance, mais toujours à taille humaine
 * De la souplesse en matière de télétravail
 * Des clients variés issus de secteurs différents (services, industries, etc.)
 Le contrat :
 * CDI
 * Statut cadre
 * Rémunération : de 37 à 42 k€ bruts annuels, selon expérience
 * RTT (12 j / an)
 Plus d'infos sur EFFIDIC
 EFFIDIC propose des solutions concrètes et innovantes aux enjeux des entreprises (commerce, prospection, marketing, RH) via l'exploitation et la valorisation de leurs données. Nous comptons aujourd'hui 14 salariés, la plupart ingénieurs informatiques ou consultants spécialisés en data.
 Notre offre est double : - Une approche conseil (Data Consulting), pour accompagner nos clients dans la construction de leur stratégie data, et s'assurer de son efficacité et de sa cohérence avec leurs objectifs.- Une approche technique (Data Platform), pour déployer des projets d'architecture data chez nos clients à l'aide des meilleures technologies (Snowflake, Big Query, Azure, etc.)
 www.effidic.fr
 Nos valeurs : 1. Expertise : nous nous engageons, avec passion et franchise, dans l'expertise Data et les projets numériques. Nous maîtrisons l'essentiel des solutions techniques nécessaires : DBT, Python, Talend, Fivetran, Snowflake, BigQuery , Power BI, Qlik, Tableau, Azure Devops, Google Cloud Build etc.2. Responsabilité : nous sommes à l'écoute des initiatives de nos salariés et prenons en compte leur bien-être. Nous prônons le numérique responsable : consommation utile des data, utilisation de matériel reconditionné, etc.3. Co-construction : nous prenons plaisir dans les échanges et la recherche de solutions à des problèmes complexes. Nous travaillons en collaboration étroite avec nos clients et tous les responsables métiers de l'entreprise concernés par la transformation numérique.
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Salaire : 39 000,00€ à 44 000,00€ par an
 Avantages :
 * Prise en charge du transport quotidien
 * RTT
 * Travail à domicile occasionnel
 Programmation :
 * Période de travail de 8 Heures
 Types de primes et de gratifications :
 * Primes
 Lieu du poste : Télétravail hybride (49800 Trélazé)"
46802,Data Engineer (H/F),Publié hier,ABYLSEN ,13,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/0046802,"Salaire brut : Mensuel de 40000,00 Euros à 50000,00 Euros",Expérience exigée de 3 An(s),N/A,[],"En étroite collaboration avec l'architecte data, les experts en data et le gestionnaire/propriétaire du produit, votre rôle consistera à contribuer activement aux opérations et à la mise en œuvre de la feuille de route technique de la plateforme d'orchestration, basée sur un produit. Vous serez ainsi responsable du développement et du soutien spécialisé des fonctionnalités de la plateforme elle-même, ainsi que des aspects liés à l'outillage DevOps autour du produit. Parmi ces aspects, la priorité sera accordée à des domaines tels que l'observabilité, la gestion des performances et l'amélioration continue du service d'orchestration.

 

Vous serez amené à :

 

· Contribuer au développement d'un produit en mettant en place les outils et fonctionnalités nécessaires, en collaboration avec l'Architecte Data et les experts du groupe.

· Créer des graphes acycliques pour optimiser les plateformes datalake et datamart sur AWS et Snowflake.

· Fournir un support technique aux utilisateurs, assurer les déploiements du code, et maintenir le fonctionnement opérationnel de la plateforme.

· Assurer un support de niveau 2, contribuer à la base de connaissances, et rapporter les performances et risques opérationnels au gestionnaire.

· Jouer un rôle clé dans la communauté Data en relayant les besoins des équipes utilisatrices et en favorisant les bonnes pratiques.

· Transmettre les connaissances à l'équipe de support off-shore via une documentation complète et des sessions de démonstration.

· Apporter une assistance à l'équipe de support lors de la résolution d'incidents et de problèmes.
* Vous avez un BAC+5 ou êtes issus d'une formation d'école d'ingénieur en informatique

* Vous avez une bonne connaissance de l'écosystème de la gestion de données (profil Data Engineer)

* Vous avez des notions DEVOPS ainsi que des notions d'observabilité des Systèmes d'Information

 

* Soft skills :

o Force de proposition

o Autonome

o Dynamisme

o Fédérateur / Communiquant (serait un plus)

 

 

 

 

Au-delà de vos connaissances techniques, c'est véritablement votre personnalité qui fera la différence ! 

Vous vous reconnaissez dans cette annonce, venez nous rencontrer ! 

 

Dans le cadre de l'égalité des chances, toutes nos offres d'emploi sont ouvertes aux personnes en situation de handicap."
46753,Consultant(e) data junior - Data Engineer (H/F),Publié hier,N/A,MAINE ET LOIRE 49,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/0046753,N/A,Expérience exigée,N/A,[],"EFFIDIC, ESN experte en Data, accompagne les entreprises dans leur transformation numérique pour faire de leurs données un levier de croissance et les faire entrer dans l'ère de l'entreprise « Data-Driven ».
 Nous recherchons un(e) Consultant(e) Data - DATA Engineer Junior pour renforcer notre équipe, accompagner le développement de notre activité et répondre aux sollicitations de nos clients, dans un secteur d'activité en pleine croissance (déploiement de plateformes de données, datavisualisation, etc.).
 Vos missions Sous la responsabilité du responsable du projet, vous contribuez activement au déploiement de nos solutions data auprès de nos clients :
 * Conception et implémentation de flux de données et algorithmes
 * Mise en place de tableaux de bord via un outil de dataviz
 * Services data sur mesure
 Compétences souhaitées : Technologies pré-requises : connaissance du SQL
 Ce que vous apprendrez avec nous (si vous ne le connaissez pas déjà.)
 * SGBD (Snowflake, BigQuery, PostgreSQL, etc.)
 * Data Engineering (DBT, Python, Talend, Fivetran, etc.)
 * Datavisualisation (PowerBI, Qlik, Tableau, etc.)
 * Plateformes DevOps/DataOps (Azure DevOps, Google Cloud Build, etc.)
 Savoir-être
 * Intéressé(e) et motivé (e) par les métiers de la data, quel que soit le secteur
 * Capacité d'apprentissage
 * Curieux(se), dynamique
 Profil du candidat
 * Bac + 5 Informatique
 * Poste ouvert aux débutant(e)s motivé(e)s
 Les + EFFIDIC
 * Des locaux situés à Trélazé (Angers)
 * Une société en pleine croissance, mais toujours à taille humaine
 * De la souplesse en matière de télétravail
 Le contrat :
 * CDI
 * Statut cadre
 * Rémunération : de 30 à 35 k€ bruts annuels, selon expérience
 * RTT (12 j / an)
 Plus d'infos sur EFFIDIC
 EFFIDIC propose des solutions concrètes et innovantes aux enjeux des entreprises (commerce, prospection, marketing, RH) via l'exploitation et la valorisation de leurs données. Nous comptons aujourd'hui 13 salariés, la plupart ingénieurs informatiques ou consultants spécialisés en data.
 Notre offre est double : - Une approche conseil (Data Consulting), pour accompagner nos clients dans la construction de leur stratégie data, et s'assurer de son efficacité et de sa cohérence avec leurs objectifs.- Une approche technique (Data Platform), pour déployer des projets d'architecture data chez nos clients à l'aide des meilleures technologies (Azure, Snowflake, Big Query, etc.)
 www.effidic.fr
 Nos valeurs : 1. Expertise : nous nous engageons, avec passion et franchise, dans l'expertise Data et les projets numériques. Nous maîtrisons l'essentiel des solutions techniques nécessaires : DBT, Python, Talend, Fivetran, Snowflake, BigQuery , Power BI, Qlik, Tableau, Azure Devops, Google Cloud Build etc.2. Responsabilité : nous sommes à l'écoute des initiatives de nos salariés et prenons en compte leur bien-être. Nous prônons le numérique responsable : consommation utile des data, utilisation de matériel reconditionné, etc.3. Co-construction : nous prenons plaisir dans les échanges et la recherche de solutions à des problèmes complexes. Nous travaillons en collaboration étroite avec nos clients et tous les responsables métiers de l'entreprise concernés par la transformation numérique.
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Salaire : 30 000,00€ à 36 000,00€ par an
 Avantages :
 * Prise en charge du transport quotidien
 * RTT
 * Travail à domicile occasionnel
 Programmation :
 * Période de travail de 8 Heures
 Types de primes et de gratifications :
 * Prime annuelle
 Lieu du poste : Télétravail hybride (49800 Trélazé)"
44863,Data Engineer H/F,Publié hier,N/A,ANSE 69,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/0044863,N/A,Expérience exigée,N/A,[],"1) Descriptif du poste
 En tant que Data Engineer de 3 ans d'expérience significative, passionné par l'ingénierie des données et possédant une solide expérience en conception, développement et maintenance de pipelines de données robustes et évolutifs, tu participeras à un ou plusieurs projets pour nos clients et à toutes les phases de mise en œuvre d'un projet DATA.
 Nous cherchons quelqu'un qui a des compétences techniques solides dans les domaines suivants :
 * Conception et développement de solutions de stockage de données, telles que des data warehouses et des data lakes
 * Mise en place de flux de travail pour l'extraction, la transformation et le chargement de données (ETL)
 * Maîtrise d'au moins un langage de programmation couramment utilisé dans l'ingénierie des données, tels que Python ou Scala
 * Connaissance de l'utilisation de technologies de traitement de données distribuées, telles que Hadoop, Spark
 * Compréhension des principes fondamentaux des bases de données relationnelles et non relationnelles
 * Capacité à travailler avec des outils d'automatisation et de gestion de code, tels que Git, Jenkins ou Ansible
 * Veiller à ce que les pipelines de données déployés soient sécurisés et clairs pour être analysés et transformés
 Tu travailleras au sein d'une équipe 100% agile
 Tu auras l'occasion de collaborer sur des projets te permettant d'évoluer sur les bonnes pratiques. L'opportunité, pour toi, d'évoluer dans divers secteurs d'activité comme dans les milieux des médias, de l'énergie, du luxe, ect.
 2) Profil recherché
 * Tu es issu(e) d'une formation d'ingénieur en Informatique Grandes Ecoles, ou troisième cycle universitaire - niveau Master 2 (Bac +5), ou Licence/Bac+2
 * Tu es un(e) passionné(e) des technologies web et architectures orientées services, aux processus d'intégration continue et de déploiement continu, et bien sûr de la big data,
 * Tu as une expérience réussie de plus de 3 ans,
 * Tu as un état d'esprit collaboratif et travailler en équipe est essentiel pour toi,
 * Tu es à l'aise en communication pour t'exprimer en français et tu disposes d'un niveau B2 en anglais minimum.
 Ce qui t'attend chez CBTW :
 Rejoindre l'agence de Lyon te permettra de renforcer une communauté de passionnés avec qui tu développeras continuellement tes connaissances en imaginant les meilleurs solutions. Ainsi, tu bénéficieras au quotidien :
 * Te former et travailler sur des technologies porteuses,
 * L'opportunité de contribuer au développement de nos offres et solutions,
 * Suivis de carrière personnalisés, dans une entreprise qui souhaite te faire évoluer,
 * Bénéficier de moments d'échanges et de formations pour faire perdurer tes connaissances technologiques.
 Tu es curieux(se) de découvrir différents environnements et intégrer une entreprise à taille humaine
 Ce poste est fait pour toi alors n'hésite pas à postuler pour rejoindre l'aventure !
 Type d'emploi : Temps plein, CDI
 Salaire : 35 000,00€ à 65 000,00€ par an
 Avantages :
 * Aide au logement
 * Épargne salariale
 * Prise en charge du transport quotidien
 * Réductions tarifaires
 * RTT
 * Travail à domicile occasionnel
 Programmation :
 * Du lundi au vendredi
 * Horaires flexibles
 * Repos le week-end
 * Travail en journée
 Types de primes et de gratifications :
 * Primes
 * Prime semestrielle
 Lieu du poste : Télétravail hybride (69009 Lyon 9e)"
35788,Data engineer - h/f,Publié hier,N/A,MARSEILLE 13 13,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/0035788,N/A,Débutant accepté,N/A,[],"Description
Au sein de la DSI vous aurez pour missions daccompagner le comité de direction par la mise en place doutils daide à la décision.
Vous aurez pour principale mission de construire et maintenir des systèmes de traitement et conversion de données brutes pour des besoins métiers.
Vos missions :
- collecter, nettoyer et inventorier les sources et données disponibles dans le SI et dans le DWH.
- Participer aux spécifications fonctionnelles et techniques de la plateforme Data de lentreprise.
- Mettre en place des pipelines de traitement de données
- Garantir la disponibilité et la qualité des données mises à disposition.
- Monitorer les flux de transferts de données et mettre en place des indicateurs de contrôles.
- Assurer le lien entre les différents acteurs Data de lentreprise : Data Analyst, Centre dexpertise Data, AdminSys, IoT
Profil recherché
Diplômé(e) dun BAC+5 en informatique, vous justifiez dune expérience de 3 à 5 ans dans un poste similaire. Vous êtes dynamique, curieux(se) et possédez une bonne capacité dadaptation aux différents interlocuteurs métiers.
Votre rigueur, votre sens de lorganisation et du service vous permettront de réussir pleinement à ce poste.
COMPÉTENCES TECHNIQUES REQUISES
- Connaissances solides et experience des bases de données (Postgresql, Oracle, MySQL), de la programmation (srtuctures ETL, XML, Json, ).
- Connaissance de plusieurs langages de programmation(Java, Python, Perl, )
- Expérience reconnue dans le de design de base de données (MCD/MPD,) et des outils ETL/ELT (Talend, Spark)
- Une expérience dans limplémentation darchitecture orientées ML seraient un plus."
9965144,Data Engineer - Sophia Antipolis H/F,Publié il y a 2 jours,N/A,VALBONNE 06,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/9965144,N/A,Expérience exigée,N/A,[],"POSTE : Data Engineer - Sophia Antipolis H/F
DESCRIPTION : 

Intégré au coeur des équipes Data de nos clients, votre principale mission consistera à concevoir des plateformes de Big Data et à veiller que les pipelines soient suffisamment sécurisés et claires.

À ce titre, vous serez en charge de :
-  Établir les spécifications techniques à partir de l'analyse des besoins.
-  Collecter la donnée et transformez des données de différentes sources afin de générer des données exploitables.
-  Développer les solutions techniques de collecte et de stockage de la donnée.
-  Reporter l'activité auprès du chef de projet

Profil recherché

De formation supérieure en informatique (Bac +5), vous justifiez d'une expérience de 3 à 5 ans réussie en tant que Data Engineer ou d'une expérience similaire.

Vous êtes :
-  Rigoureux et autonome ;
-  Doté d'une bonne capacité d'analyse et de synthèse
-  Pédagogue avec un bon sens du relationnel

Vous maitrisez :
-  Capacité à développer (Python, Scala, SQL, R, Shell)
-  Outils de BigData (Hadoop, Spark, Pyspark)
-  Connaissances en solutions de bases de données (SQL, NoSQL)
-  Stockage de données et les outils ETL (Stambia, Talend)
-  Un anglais professionnel,
-  Connaissance en cloud (Azure, AWS, GCP)

vous pourrez bénéficier de plusieurs avantages :
-  Une réelle proximité avec nos équipes avec une collaboration permanente entre nos chefs de projets/manager/RH/ pour vous accompagner et vous orienter dans une carrière personnalisée.
-  Une communauté d'experts pour vous accompagner dans votre montée en compétence.
-  Une université interne pour vous offrir un parcours de formation complet et personnalisé.
-  Une licence udemy business pour tous les collaborateurs afin de vous permettre de vous former sur tous les sujets de votre choix et sans limitation (soft skills & hard skills) avec plus de 200 000 formations.
-  Des événements réguliers pour se retrouver et échanger autour de sujets techniques (techtalk, conférences, webinaires)
-  La possibilité de télétravailler plusieurs jours par semaine.
-  Bénéficiez d'une prime de cooptation.

imaginer et construire des solutions innovantes adaptées aux entreprises les plus audacieuses pour mener ensemble les transformations technologiques qui nous inspirent, c'est ce que nous aimons faire. mais ce qui nous semble le plus important dans une entreprise, ce sont les personnes passionnées que l'on y rencontre.

notre ambition ? être un partenaire de confiance, en aidant nos clients à façonner leur avenir grâce au développement illimité de solutions technologiques innovantes. mais aussi être le partenaire de nos talents multi-experts, en continuant à leur offrir la possibilité de développer leur passion.

chez nous, avoir de la personnalité, c'est avoir la créativité nécessaire pour allier conseil, ingénierie et expertise digitale sur de nombreux secteurs d'activité : services financiers, télécommunications et médias, automobile et industries manufacturières, aérospatial et défense, santé, secteur public et institutions gouvernementales, voyages et transport, technologie et énergie.

nous sommes une entreprise handi-accueillante (à compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap.) et signataire de la charte d'engagement lgbt+.
PROFIL :"
9964542,Data Engineer H/F,Publié il y a 2 jours,N/A,BORDEAUX 33,CDI,https://candidat.pole-emploi.fr/offres/recherche/detail/9964542,N/A,Expérience exigée,N/A,[],"POSTE : Data Engineer H/F
DESCRIPTION : Le contexte :

Tu es rattaché à l'équipe innovative Data & IT en qualité de data engineer de notre client. Son équipe conçoit, développe et exploite une grande partie des données et solutions Data à destination des utilisateurs internes pour la France et l'international.

Les missions :

-  Concevoir et développer des solutions Data/IA à des fins analytics & dashboarding
-  Accompagner les métiers dans la compréhension des Analytics et mise en oeuvre de solution ""data driven""
-  Mettre en oeuvre des solutions industrielles exploitables, mesurables et opérables
-  Communiquer et traduire les résultats complexes et leur implications aux parties prenantes de l'entreprise
-  Capitaliser sur les solutions pour créer de nouveaux produits, de nouveaux services et de nouvelles opportunités de digitalisation, de valorisation de la donnée
-  Collaborer avec les data scientist et data ops dans la construction d'une culture axée sur les données
-  Participer activement à la communauté de data scientists et de data ingénieurs
-  Gérer un écosystème de partenaires data science et assurer un haut niveau d'expertise
-  Assurer un rôle de veille technologique sur tous les outils autours de la data, IA et BI
-  Contribuer au développement des membres de l'équipe BI et Big Data

Tu as étudié les systèmes d'informations, la Big Data ou le traitement de données lors d'un parcours supérieur de type école d'ingénieurs (Bac +5).

Ta capacité à régler des problèmes techniques complexes et ton autonomie dans la recherche de solutions liées à la Big Data font partie de tes qualités professionnelles.

Tu travailles de manière autonome dans un contexte agile, un minimum de quatre années d'expériences sur un poste de data engineer est attendu pour être opérationnel sur ce poste.

NEXTON c'est aussi et surtout de nombreux moments de rencontres tout au long de l'année :
-  Des communautés : 2 Meet Up par mois pour partager et échanger avec des experts
-  De nombreux moments de rencontres professionnels et extra professionnels tout au long de l'année
-  Des moments privilégiés avec ton manager

Prêt à nous rejoindre ? Rencontrons-nous !
PROFIL : Tu as étudié les systèmes d'informations, la Big Data ou le traitement de données lors d'un parcours supérieur de type école d'ingénieurs  Bac +5).



-   Des communautés : 2 Meet Up par mois pour partager et échanger avec des experts
-   De nombreux moments de rencontres professionnels et extra professionnels tout au long de l'année
-   Des moments privilégiés avec ton manager"
